time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
10.540000000000001,900.6785889179021,212.14319806492972,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013329358,0.08174063622816335
10.55,900.7386798393975,213.2440512674203,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014002022,0.08776485708191102
10.56,900.7930261236085,215.43241211654825,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015167338,0.0925704811983112
10.57,900.8371347434465,218.55161090380997,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01383094,0.09558008154350002
10.58,900.8645208578687,221.94018116664893,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013525648,0.09635766138246155
10.59,900.8712628356295,225.04076094073682,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014186812,0.09451672405602414
10.6,900.8554403214642,227.53127874714457,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014086531,0.09040894107715872
10.61,900.8183782193948,229.1652109435184,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013638959,0.08432644326709875
10.620000000000001,900.7642393123779,229.77006683138364,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014248812,0.07715925680315813
10.63,900.6993845717394,229.16936651927168,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013041835,0.06957371052147672
10.64,900.6322714538101,227.44282604974256,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013191136,0.06278721143055091
10.65,900.5714815542568,224.86521574918646,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015060027,0.057534779363284536
10.66,900.5243248836401,221.84933879562183,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013594459,0.05431359935735405
10.67,900.49539417557,218.78070985584932,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013620769,0.053310561401315334
10.68,900.4860894670427,215.91841523180653,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014739616,0.05439874186376623
10.69,900.4952555475209,213.3529430971811,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013226037,0.057187609375313406
10.700000000000001,900.5195683186392,211.30064486047434,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013075415,0.061152161485915214
10.71,900.5545474136,209.8161809577369,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.016230414,0.06581411693278871
10.72,900.5957201351534,208.92427560032044,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013499128,0.07089870664794623
10.73,900.6410951054537,208.04359561535668,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013307037,0.07570150679403712
10.74,900.6842353070926,208.67555906325896,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014427434,0.0799946952162283
10.75,900.7226431968038,210.37291817348603,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.012996215,0.08392515556992007
10.76,900.7579796477767,212.57682299296823,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013649929,0.08720764236040954
10.77,900.7884699502673,215.81952027905277,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014864627,0.09015961518011786
10.78,900.8146510798617,219.23339136257232,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013513088,0.09238654771654434
10.790000000000001,900.8360655358582,222.6667347451672,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014951117,0.0940902793814642
10.8,900.8512199706806,225.8057825741254,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014556055,0.09483596786637022
10.81,900.8582652525395,228.55535396501452,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013274827,0.09436161381275153
10.82,900.854051727719,230.84472122850153,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013623019,0.09251151104913075
10.83,900.8373495317651,232.53323817757612,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014453863,0.08932018201684162
10.84,900.8085915924308,233.5120382708825,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013683189,0.08499823102266339
10.85,900.7699679977579,233.71575544082458,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013565499,0.07997756802159953
10.86,900.7249940672602,233.20022285566566,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014433124,0.07486284524801233
10.870000000000001,900.678652275985,231.67116779821748,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013681599,0.07021984780614658
10.88,900.634865034112,229.64370554998118,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013530759,0.06545565021929844
10.89,900.5941526227311,227.3637466343525,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014817786,0.06177058562436293
10.9,900.5606456869492,224.5884086577448,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013967901,0.05894262344992277
10.91,900.535185760155,222.01978462353367,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013378458,0.05719040993430849
10.92,900.5189948812896,219.54926530419698,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015020438,0.05646774474687448
10.93,900.5121955667948,217.36166010103358,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.012814994,0.05659842401209198
10.94,900.5134732192099,215.60005917239735,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01378766,0.05748723295271644
10.950000000000001,900.5213575250965,214.30565462338774,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014347883,0.05898240004259891
